cpId,bloque,escenario,titulo,prioridad,tipo,estatus,ejecutadoPor
E0-LOGIN-ADMIN-01,BD1,Validar que sistema permita autenticarse con el rol de usuario correspondiente,Validar que el rol adminsitrador tiene acceso al sistema,Medio,Automatizada,Passed,Angel Farro
E0-LOGIN-ADMIN-02,BD1,Validar que el sistema restrinja la modificación de archivos a un rol en particular,Validar que el rol adminsitrador puede visualizar y modificar los archivos comunes,Medio,Manual,Passed,Yaimara Guerra Tamayo
E40-DIS-01,BD1,Validar que el sistema pueda crear una nueva distribución,Validar el correcto funcionamiento de crear una nueva distribucion,Alta,Manual,Passed,Yaimara Guerra Tamayo
E40-DIS-02,BD1,Validar las reglas de negocio al crear una nueva distribución,Validar que no se pueda crear una nueva distribucion porque no cumplen con las reglas definidas de negocio ,Medio,Manual,Passed,Yaimara Guerra Tamayo
E40-DIS-03,BD1,Validar el formato de los campos del formulario al crear una nueva distribución,Validar que no se pueda crear una nueva distribucion por error de formato de los campos,Medio,Manual,Passed,Yaimara Guerra Tamayo
E41-DIS-01,BD1,Validar que el sistema permita visualizar una distribución desde el menu de acciones,Validar que se pueda visualizar una nueva distribución desde el menu de acciones,Medio,Manual,Passed,Yaneisy
E58-C-01.1,BD1,Validar que no se cargue el archivo sin que su antecesor ya se encuentre cargado en el flujo de comunes,Carga de un archivo en la opción/funcionalidad Grupo Producto sin que su antecesor ya se encuentre cargado en el flujo de comunes,Medio,Manual,N/A,Yaimara Guerra Tamayo
E58-C-01.2,BD1,Validar que no se cargue el archivo sin que su antecesor ya se encuentre cargado en el flujo de comunes,Carga de un archivo en la opción/funcionalidad Canales sin que su antecesor ya se encuentre cargado en el flujo de comunes,Medio,Manual,N/A,Yaimara Guerra Tamayo
E58-C-01.3,BD1,Validar que no se cargue el archivo sin que su antecesor ya se encuentre cargado en el flujo de comunes,Carga de un archivo en la opción/funcionalidad Subcanales sin que su antecesor ya se encuentre cargado en el flujo de comunes,Medio,Manual,N/A,Yaimara Guerra Tamayo
E58-C-01.4,BD1,Validar que no se cargue el archivo sin que su antecesor ya se encuentre cargado en el flujo de comunes,Carga de un archivo en la opción/funcionalidad Maestro UoA sin que su antecesor ya se encuentre cargado en el flujo de comunes,Medio,Manual,N/A,Yaimara Guerra Tamayo
E58-C-01.5,BD1,Validar que no se cargue el archivo sin que su antecesor ya se encuentre cargado en el flujo de comunes,Traer el archivo Unidades de Cuenta - BBA/VFA sin que su antecesor ya se encuentre cargado en el flujo de comunes,Medio,Manual,N/A,Yaimara Guerra Tamayo
E59-C-01.1,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Líneas para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E59-C-01.2,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Grupo Producto para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E59-C-01.3,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Canales para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E59-C-01.4,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Subcanales para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E59-C-01.5,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Maestro UoA para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Passed,Angel Farro
E59-C-01.6,BD1,Validar la funcionalidad de sobreescritura de datos mediante la carga de archivo en el flujo de comunes,Carga de el archivo Configuración de Parches para el mismo periodo que ya contiene información definido en el proceso Comunes,Medio,Manual,Failed,Esteban
E4-C-01.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Líneas definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.1.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Fucionalidad boton subir nuevo archivo Líneas definido en el proceso Comunes,Alta,Manual,Blocked,Carolina Correa
E4-C-01.2,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Grupo Producto definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.2.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Fucionalidad boton subir nuevo  archivo Grupo Producto definido en el proceso Comunes,Alta,Manual,Failed,Carolina Correa
E4-C-01.3,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Canales definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.3.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Fucionalidad boton subir nuevo archivo Canales definido en el proceso Comunes,Alta,Manual,Passed,Carolina Correa
E4-C-01.4,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Subcanales definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.4.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Fucionalidad boton subir nuevo archivo archivo Subcanales definido en el proceso Comunes,Alta,Manual,Failed,Carolina Correa
E4-C-01.5,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Maestro UoA definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.5.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Fucionalidad boton subir nuevo  archivo Maestro UoA definido en el proceso Comunes,Alta,Manual,Failed,Carolina Correa
E4-C-01.6,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Traer archivo Unidades de Cuenta - BBA/VFA definido en el proceso Comunes,Alta,Automatizada,Passed,Angel Farro
E4-C-01.7,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga del archivo Configuración de Parches definido en el proceso Comunes ,Medio,Manual,Passed,Carolina Correa
E4-C-01.7.1,BD1,Validación de la carga de los archivos Comunes en formato permitido ,Carga de otro archivo Configuración de Parches definido en el proceso Comunes,Medio,Manual,Failed,Carolina Correa
E5-C-01.1,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Líneas diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-01.2,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Grupo Producto diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-01.3,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Canales diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-01.4,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Subcanales diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-01.5,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Maestro UoA diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-01.6,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Configuración de Parches diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Caro
E5-C-02.1,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Líneas diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E5-C-02.2,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Grupo Producto diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E5-C-02.3,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Canales diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E5-C-02.4,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad subCanales diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E5-C-02.5,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Maestro UoA diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E5-C-02.6,BD1,Validar que no se cargue un archivo que no corresponde con la opción/funcionalidad del proceso de comunes,Carga de un archivo en la opción/funcionalidad Configuración de Parches diferente al definidos en el proceso Comunes,Medio,Manual,Passed,Yaneisy
E6-C-01.1,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Líneas con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
E6-C-01.2,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Grupo Productos con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
E6-C-01.3,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Canales con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
E6-C-01.4,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Subcanales con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
E6-C-01.5,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Maestro UoA con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
